prompt,health_ailment,date
I’ve been suffering from Chronic Sinusitis ever since 03/21/2020 – 03/25/2020.,Chronic Sinusitis,03/21/2020 – 03/25/2020
Chronic Fatigue Syndrome have been affecting me since For the past 10 minutes.,Chronic Fatigue Syndrome,For the past 10 minutes
I’ve been suffering from Shingles (Herpes Zoster) ever since For the past 10 minutes.,Shingles (Herpes Zoster),For the past 10 minutes
I've been experiencing Hypertension (High Blood Pressure) since 2020/02/11 – 2020/02/14.,Hypertension (High Blood Pressure),2020/02/11 – 2020/02/14
I've been experiencing Anxiety Disorder since During the holiday season 2019.,Anxiety Disorder,During the holiday season 2019
I have Peptic Ulcer Disease since For the past 10 minutes.,Peptic Ulcer Disease,For the past 10 minutes
I have Anxiety Disorder since The second half of November 2019.,Anxiety Disorder,The second half of November 2019
"Since Past 6 hours, I’ve been dealing with Myofascial Pain Syndrome.",Myofascial Pain Syndrome,Past 6 hours
High Cholesterol (Hyperlipidemia) have been affecting me since 12/30/2019 – 01/10/2020.,High Cholesterol (Hyperlipidemia),12/30/2019 – 01/10/2020
I have Pneumonia since Last 36 hours.,Pneumonia,Last 36 hours
Tachycardia (Fast Heart Rate) have been affecting me since 2020/01/11 – 2020/01/15.,Tachycardia (Fast Heart Rate),2020/01/11 – 2020/01/15
Peripheral Neuropathy have been affecting me since 03/01/2020 – 03/15/2020.,Peripheral Neuropathy,03/01/2020 – 03/15/2020
"Since Past week, I’ve been dealing with Delayed Onset Muscle Soreness (DOMS).",Delayed Onset Muscle Soreness (DOMS),Past week
I’ve been suffering from Heat Exhaustion ever since Past 1 hour.,Heat Exhaustion,Past 1 hour
I have had Chronic Back Pain since 2020/01/11 – 2020/01/15.,Chronic Back Pain,2020/01/11 – 2020/01/15
I've been experiencing Dehydration since Since last night at midnight.,Dehydration,Since last night at midnight
"Since Last month, I’ve been dealing with Dehydration.",Dehydration,Last month
I've been experiencing Hypothyroidism since Yesterday.,Hypothyroidism,Yesterday
I’ve been suffering from Rosacea ever since Last 2 months.,Rosacea,Last 2 months
I’ve been suffering from Type 2 Diabetes ever since 2019/12/20 – 2019/12/27.,Type 2 Diabetes,2019/12/20 – 2019/12/27
"Since Past week, I’ve been dealing with Orthostatic Intolerance.",Orthostatic Intolerance,Past week
"Since For the past 10 minutes, I’ve been dealing with Myofascial Pain Syndrome.",Myofascial Pain Syndrome,For the past 10 minutes
I have had Heat Exhaustion since From 03/01/2020 to 03/07/2020.,Heat Exhaustion,From 03/01/2020 to 03/07/2020
Fibromyalgia have been affecting me since The last quarter of 2019.,Fibromyalgia,The last quarter of 2019
I have had Dehydration since 03/15/2020 – 03/19/2020.,Dehydration,03/15/2020 – 03/19/2020
"Since Between 02/10/2020 and 02/20/2020, I’ve been dealing with Common Cold.",Common Cold,Between 02/10/2020 and 02/20/2020
I have had Hypotension (Low Blood Pressure) since 2019/11/10 – 2019/11/12.,Hypotension (Low Blood Pressure),2019/11/10 – 2019/11/12
I have Overtraining Syndrome since From 07:00 PM to 10:00 PM yesterday.,Overtraining Syndrome,From 07:00 PM to 10:00 PM yesterday
I have Insomnia since Every morning this week.,Insomnia,Every morning this week
I have Obesity since Last 3 months.,Obesity,Last 3 months
I've been experiencing High Cholesterol (Hyperlipidemia) since The entire month of February 2020.,High Cholesterol (Hyperlipidemia),The entire month of February 2020
I’ve been suffering from Bradycardia (Slow Heart Rate) ever since 03/26/2020 – 03/29/2020.,Bradycardia (Slow Heart Rate),03/26/2020 – 03/29/2020
I’ve been suffering from Polycystic Ovary Syndrome (PCOS) ever since Since the beginning of this year.,Polycystic Ovary Syndrome (PCOS),Since the beginning of this year
